表8　刑事案件嫌疑犯人數－按職業別(續2),,,,,,,,,,Table 8. Criminal Cases Offenders - by Occupation (Cont.2),,,,,,,,
,,,,,,,,,,,,,,,,,,
單位：人,,,,,,,,,,,,,,,,,,Unit:Persons
機關別,,,總計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務(不含保安工作人員),銷售及展示工作人員,農林漁牧業生產人員,保安服務工作人員(含軍人),技藝(技術)有關工作人員,駕駛及移運設備操作人員,駕駛及移運操作除外之機械設備操作及組裝人員,基層技術工及勞力工,學生,無職,"其他
(含不詳)"
,,男Male,"4,881",49,120,83,46,521,357,63,108,76,261,16,"1,500",232,956,493
,,女Female,"1,441",18,56,45,24,283,179,2,4,10,13,3,78,75,482,169
"新竹市
Hsinchu
City","╭
｜
﹤
｜
╰",計Subtotal,"5,924",39,281,54,       －,"1,558",213,49,146,348,162,35,"1,075",368,"1,257",339
,,男Male,"4,733",30,196,40,       －,"1,119",176,47,136,335,154,25,997,285,894,299
,,女Female,"1,191",9,85,14,       －,439,37,2,10,13,8,10,78,83,363,40
"嘉義市
Chiayi
City","╭
｜
﹤
｜
╰",計Subtotal,"4,911",12,58,30,14,955,170,60,22,37,64,52,"2,662",172,533,70
,,男Male,"3,689",8,32,21,4,300,112,56,19,35,62,44,"2,495",133,314,54
,,女Female,"1,222",4,26,9,10,655,58,4,3,2,2,8,167,39,219,16
"金門縣
Kinmen
County","╭
｜
﹤
｜
╰",計Subtotal,"1,391",26,26,54,5,284,49,28,50,17,39,11,216,159,270,157
,,男Male,"1,038",19,15,34,3,177,39,26,40,16,35,11,192,139,183,109
,,女Female,353,7,11,20,2,107,10,2,10,1,4,       －,24,20,87,48
"連江縣
Lienchiang
County","╭
｜
﹤
｜
╰",計Subtotal,175,14,4,4,4,26,3,5,10,51,5,3,4,11,20,11
,,男Male,131,9,3,1,       －,16,1,5,9,51,5,2,3,8,11,7
,,女Female,44,5,1,3,4,10,2,       －,1,       －,       －,1,1,3,9,4
"署所屬機
關 NPA's
Subordinate
Organizations","╭
｜
﹤
｜
╰",計Subtotal,"10,616","1,531",526,424,55,"2,303",509,318,145,518,831,146,"1,198",217,"1,400",495
,,男Male,"7,927","1,174",384,282,15,"1,437",306,300,127,478,819,123,"1,065",153,868,396
,,女Female,"2,689",357,142,142,40,866,203,18,18,40,12,23,133,64,532,99
